Region,Suburb,Year,Total Description,Value
Gungahlin,Amaroo,2011,Labour force status - Census : Labour force participation rate (%),77.1
Gungahlin,Amaroo,2011,Labour force status - Census : Not in the labour force (%),14.6
Gungahlin,Amaroo,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),48.0
Gungahlin,Amaroo,2011,Labour force status - Census : % of total Census responding population employed,62.5
Gungahlin,Amaroo,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),4.0
Gungahlin,Amaroo,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),8.2
Gungahlin,Amaroo,2011,Unpaid child care - Census : Cared for own child/children (no.),6.0
Gungahlin,Amaroo,2011,Unpaid child care - Census : Cared for own child/children (%),12.2
Gungahlin,Amaroo,2011,Unpaid child care - Census : Cared for other child/children (no.),4.0
Gungahlin,Amaroo,2011,Unpaid child care - Census : Cared for other child/children (%),8.2
Gungahlin,Amaroo,2011,Unpaid child care - Census : Total provided unpaid child care (no.),15.0
Gungahlin,Amaroo,2011,Unpaid child care - Census : Total provided unpaid child care (%),30.6
Gungahlin,Amaroo,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),33.0
Gungahlin,Amaroo,2011,Unpaid child care - Census : Did not provide unpaid child care (%),67.3
Gungahlin,Amaroo,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),14.0
Gungahlin,Amaroo,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),28.6
Gungahlin,Amaroo,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),30.0
Gungahlin,Amaroo,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),45.5
Gungahlin,Amaroo,2011,Tenure type - Census : Renter (no.),37.0
Gungahlin,Amaroo,2011,Tenure type - Census : Renter (%),56.1
Gungahlin,Amaroo,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),3.0
Gungahlin,Amaroo,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),33.3
Gungahlin,Amaroo,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),9.0
Gungahlin,Amaroo,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),10.0
Gungahlin,Amaroo,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),100.0
Gungahlin,Amaroo,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),10.0
Gungahlin,Amaroo,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",10.0
Gungahlin,Amaroo,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",100.0
Gungahlin,Amaroo,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),10.0
Gungahlin,Amaroo,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),30.0
Gungahlin,Amaroo,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),103.4
Gungahlin,Amaroo,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),29.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),61.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),89.7
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),3.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),4.4
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Gungahlin,Amaroo,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),68.0
Belconnen,Aranda,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),0.0
Belconnen,Aranda,2011,Language - Census : Speaks English at home (%),100.0
Belconnen,Aranda,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",63.6
Belconnen,Aranda,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",27.3
Belconnen,Aranda,2011,"Engagement in employment, education or training - Census : Not engaged (%)",0.0
Belconnen,Aranda,2011,Labour force status - Census : Employed (no.),7.0
Belconnen,Aranda,2011,Labour force status - Census : % of total labour force employed,77.8
Belconnen,Aranda,2011,Labour force status - Census : Unemployed (no.),0.0
Belconnen,Aranda,2011,Labour force status - Census : % of total labour force unemployed,0.0
Belconnen,Aranda,2011,Labour force status - Census : In the labour force (no.),9.0
Belconnen,Aranda,2011,Labour force status - Census : Labour force participation rate (%),81.8
Belconnen,Aranda,2011,Labour force status - Census : Not in the labour force (%),27.3
Belconnen,Aranda,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),11.0
Belconnen,Aranda,2011,Labour force status - Census : % of total Census responding population employed,63.6
Belconnen,Aranda,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),0.0
Belconnen,Aranda,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),0.0
Belconnen,Aranda,2011,Unpaid child care - Census : Cared for own child/children (no.),0.0
Belconnen,Aranda,2011,Unpaid child care - Census : Cared for own child/children (%),0.0
Belconnen,Aranda,2011,Unpaid child care - Census : Cared for other child/children (no.),3.0
Belconnen,Aranda,2011,Unpaid child care - Census : Cared for other child/children (%),27.3
Belconnen,Aranda,2011,Unpaid child care - Census : Total provided unpaid child care (no.),4.0
Belconnen,Aranda,2011,Unpaid child care - Census : Total provided unpaid child care (%),36.4
Belconnen,Aranda,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),6.0
Belconnen,Aranda,2011,Unpaid child care - Census : Did not provide unpaid child care (%),54.5
Belconnen,Aranda,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),3.0
