Region,Year,Total Description,Value
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),33.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),2247.2
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),1768.0
Belconnen,2021,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),1965.0
Belconnen,2021,"Engagement in employment, education or training - Census : Fully engaged (%)",1549.7
Belconnen,2021,"Engagement in employment, education or training - Census : Not engaged (%)",561.8
Belconnen,2021,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",404.6
Belconnen,2021,Labour force status - Census : % of total Census responding population employed,1796.5
Belconnen,2021,Labour force status - Census : % of total labour force employed,2327.0
Belconnen,2021,Labour force status - Census : % of total labour force unemployed,119.30000000000001
Belconnen,2021,Labour force status - Census : Employed (no.),1012.0
Belconnen,2021,Labour force status - Census : In the labour force (no.),1098.0
Belconnen,2021,Labour force status - Census : Labour force participation rate (%),1925.0
Belconnen,2021,Labour force status - Census : Not in the labour force (%),548.6
Belconnen,2021,Labour force status - Census : Total responding population aged 15-64 years (no.),1428.0
Belconnen,2021,Labour force status - Census : Unemployed (no.),60.0
Belconnen,2021,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),73.9
Belconnen,2021,Language - Census : Speaks English at home (%),2339.7
Belconnen,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),1127.8
Belconnen,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),961.0
Belconnen,2021,Tenure type - Census : Renter (%),1319.3
Belconnen,2021,Tenure type - Census : Renter (no.),1083.0
Belconnen,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),439.8
Belconnen,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),246.0
Belconnen,2021,Unpaid child care - Census : Cared for other child/children (%),168.3
Belconnen,2021,Unpaid child care - Census : Cared for other child/children (no.),124.0
Belconnen,2021,Unpaid child care - Census : Cared for own child/children (%),543.0
Belconnen,2021,Unpaid child care - Census : Cared for own child/children (no.),324.0
Belconnen,2021,Unpaid child care - Census : Did not provide unpaid child care (%),1680.3
Belconnen,2021,Unpaid child care - Census : Did not provide unpaid child care (no.),1003.0
Belconnen,2021,Unpaid child care - Census : Total provided unpaid child care (%),797.6
Belconnen,2021,Unpaid child care - Census : Total provided unpaid child care (no.),482.0
Belconnen,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),511.4
Belconnen,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),278.0
Gungahlin,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),570.8
Gungahlin,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),30.0
Gungahlin,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),64.0
Gungahlin,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),687.8
