Suburb,Total Description,Year,Number,Region,Population,Rate,COVID
Aranda,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,11.0,Belconnen,2447,4.495300367797303,Pre
Aranda,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,13.0,Belconnen,2583,5.032907471931861,During
Aranda,Tenure type - Census : Renter (no.),2011,12.0,Belconnen,2554,4.698512137823023,Pre
Aranda,Tenure type - Census : Renter (no.),2016,7.0,Belconnen,2447,2.8606456885982836,Pre
Aranda,Tenure type - Census : Renter (no.),2021,10.0,Belconnen,2583,3.8714672861014323,During
Aranda,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,0.0,Belconnen,2554,0.0,Pre
Aranda,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,4.0,Belconnen,2583,1.5485869144405728,During
Aranda,Unpaid child care - Census : Cared for other child/children (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Unpaid child care - Census : Cared for other child/children (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Unpaid child care - Census : Cared for other child/children (no.),2021,0.0,Belconnen,2583,0.0,During
Aranda,Unpaid child care - Census : Cared for own child/children (no.),2011,0.0,Belconnen,2554,0.0,Pre
Aranda,Unpaid child care - Census : Cared for own child/children (no.),2016,3.0,Belconnen,2447,1.2259910093992643,Pre
Aranda,Unpaid child care - Census : Cared for own child/children (no.),2021,3.0,Belconnen,2583,1.1614401858304297,During
Aranda,Unpaid child care - Census : Did not provide unpaid child care (no.),2011,6.0,Belconnen,2554,2.3492560689115116,Pre
Aranda,Unpaid child care - Census : Did not provide unpaid child care (no.),2016,8.0,Belconnen,2447,3.269309358398038,Pre
Aranda,Unpaid child care - Census : Did not provide unpaid child care (no.),2021,13.0,Belconnen,2583,5.032907471931861,During
Aranda,Unpaid child care - Census : Total provided unpaid child care (no.),2011,4.0,Belconnen,2554,1.5661707126076743,Pre
Aranda,Unpaid child care - Census : Total provided unpaid child care (no.),2016,4.0,Belconnen,2447,1.634654679199019,Pre
Aranda,Unpaid child care - Census : Total provided unpaid child care (no.),2021,5.0,Belconnen,2583,1.9357336430507162,During
Aranda,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
Aranda,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2016,4.0,Belconnen,2447,1.634654679199019,Pre
Aranda,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2021,7.0,Belconnen,2583,2.7100271002710024,During
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,4.0,Belconnen,4667,0.8570816370259268,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,14.0,Belconnen,6743,2.0762271985763014,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,26.0,Belconnen,8545,3.042715038033938,During
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,4.0,Belconnen,4667,0.8570816370259268,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,13.0,Belconnen,6743,1.927925255820851,Pre
Belconnen,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,30.0,Belconnen,8545,3.5108250438853132,During
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,12.0,Belconnen,4667,2.5712449110777804,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,18.0,Belconnen,6743,2.6694349695981017,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,25.0,Belconnen,8545,2.925687536571094,During
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,19.0,Belconnen,4667,4.071137775873152,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,28.0,Belconnen,6743,4.152454397152603,Pre
Belconnen,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,39.0,Belconnen,8545,4.564072557050907,During
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,7.0,Belconnen,4667,1.4998928647953718,Pre
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,24.0,Belconnen,6743,3.5592466261308022,Pre
Belconnen,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,28.0,Belconnen,8545,3.2767700409596254,During
Belconnen,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,15.0,Belconnen,4667,3.2140561388472255,Pre
Belconnen,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,23.0,Belconnen,6743,3.410944683375352,Pre
Belconnen,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,30.0,Belconnen,8545,3.5108250438853132,During
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,13.0,Belconnen,4667,2.785515320334262,Pre
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,28.0,Belconnen,6743,4.152454397152603,Pre
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,50.0,Belconnen,8545,5.851375073142188,During
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,21.0,Belconnen,4667,4.499678594386116,Pre
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2016,38.0,Belconnen,6743,5.635473824707104,Pre
Belconnen,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2021,68.0,Belconnen,8545,7.957870099473376,During
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2011,0.0,Belconnen,4667,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2016,0.0,Belconnen,6743,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2021,3.0,Belconnen,8545,0.3510825043885313,During
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2011,8.0,Belconnen,4667,1.7141632740518535,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2016,13.0,Belconnen,6743,1.927925255820851,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2021,7.0,Belconnen,8545,0.8191925102399064,During
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2011,0.0,Belconnen,4667,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2016,0.0,Belconnen,6743,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2021,0.0,Belconnen,8545,0.0,During
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2011,0.0,Belconnen,4667,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2016,0.0,Belconnen,6743,0.0,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2021,0.0,Belconnen,8545,0.0,During
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2011,36.0,Belconnen,4667,7.71373473323334,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,53.0,Belconnen,6743,7.860002966038855,Pre
Belconnen,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,95.0,Belconnen,8545,11.117612638970158,During
Belconnen,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2011,52.0,Belconnen,4667,11.142061281337048,Pre
Belconnen,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2016,66.0,Belconnen,6743,9.787928221859707,Pre
Belconnen,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2021,108.0,Belconnen,8545,12.638970157987128,During
Belconnen,Labour force status - Census : Employed (no.),2011,18.0,Belconnen,4667,3.85686736661667,Pre
Belconnen,Labour force status - Census : Employed (no.),2016,48.0,Belconnen,6743,7.1184932522616045,Pre
Belconnen,Labour force status - Census : Employed (no.),2021,73.0,Belconnen,8545,8.543007606787596,During
Belconnen,Labour force status - Census : In the labour force (no.),2011,18.0,Belconnen,4667,3.85686736661667,Pre
Belconnen,Labour force status - Census : In the labour force (no.),2016,47.0,Belconnen,6743,6.970191309506154,Pre
Belconnen,Labour force status - Census : In the labour force (no.),2021,80.0,Belconnen,8545,9.362200117027502,During
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,33.0,Belconnen,4667,7.070923505463896,Pre
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,64.0,Belconnen,6743,9.491324336348805,Pre
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2021,105.0,Belconnen,8545,12.287887653598595,During
Belconnen,Labour force status - Census : Unemployed (no.),2011,0.0,Belconnen,4667,0.0,Pre
Belconnen,Labour force status - Census : Unemployed (no.),2016,0.0,Belconnen,6743,0.0,Pre
Belconnen,Labour force status - Census : Unemployed (no.),2021,5.0,Belconnen,8545,0.5851375073142189,During
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,6.0,Belconnen,4667,1.2856224555388902,Pre
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,13.0,Belconnen,6743,1.927925255820851,Pre
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,27.0,Belconnen,8545,3.159742539496782,During
Belconnen,Tenure type - Census : Renter (no.),2011,39.0,Belconnen,4667,8.356545961002785,Pre
Belconnen,Tenure type - Census : Renter (no.),2016,47.0,Belconnen,6743,6.970191309506154,Pre
Belconnen,Tenure type - Census : Renter (no.),2021,86.0,Belconnen,8545,10.064365125804564,During
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,4.0,Belconnen,4667,0.8570816370259268,Pre
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,3.0,Belconnen,6743,0.4449058282663503,Pre
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,9.0,Belconnen,8545,1.0532475131655938,During
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2011,0.0,Belconnen,4667,0.0,Pre
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2016,3.0,Belconnen,6743,0.4449058282663503,Pre
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2021,3.0,Belconnen,8545,0.3510825043885313,During
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2011,13.0,Belconnen,4667,2.785515320334262,Pre
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2016,12.0,Belconnen,6743,1.7796233130654011,Pre
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2021,10.0,Belconnen,8545,1.1702750146284377,During
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2011,23.0,Belconnen,4667,4.928219412899079,Pre
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2016,54.0,Belconnen,6743,8.008304908794305,Pre
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2021,94.0,Belconnen,8545,11.000585137507315,During
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2011,15.0,Belconnen,4667,3.2140561388472255,Pre
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2016,13.0,Belconnen,6743,1.927925255820851,Pre
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2021,11.0,Belconnen,8545,1.2873025160912814,During
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2011,7.0,Belconnen,4667,1.4998928647953718,Pre
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2016,11.0,Belconnen,6743,1.631321370309951,Pre
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2021,14.0,Belconnen,8545,1.6383850204798127,During
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,20.0,Belconnen,6751,2.962524070508073,Pre
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,15.0,Belconnen,7147,2.0987827060305024,Pre
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,24.0,Belconnen,7543,3.1817579212514913,During
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,22.0,Belconnen,6751,3.25877647755888,Pre
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,17.0,Belconnen,7147,2.3786204001679025,Pre
Bruce,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,24.0,Belconnen,7543,3.1817579212514913,During
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,5.0,Belconnen,6751,0.7406310176270182,Pre
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,7.0,Belconnen,7147,0.9794319294809011,Pre
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,20.0,Belconnen,7543,2.651464934376243,During
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,5.0,Belconnen,6751,0.7406310176270182,Pre
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,10.0,Belconnen,7147,1.3991884706870015,Pre
Bruce,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,28.0,Belconnen,7543,3.71205090812674,During
