Region,Total Description,Year,Number,Population,Rate,Covid
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,79.0,71582,1.103629404040122,Pre
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,140.0,77021,1.8176860856130146,During
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,58.0,48334,1.1999834485041585,Pre
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,101.0,71582,1.4109692380766115,Pre
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,161.0,77021,2.0903389984549667,During
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,93.0,48334,1.9241113915670127,Pre
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,136.0,71582,1.899918974043754,Pre
Gungahlin,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,209.0,77021,2.713545656379429,During
Gungahlin,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,73.0,48334,1.510323995531096,Pre
Gungahlin,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,150.0,71582,2.095498868430611,Pre
Gungahlin,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,182.0,77021,2.362991911296919,During
Gungahlin,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,95.0,48334,1.9654901311706043,Pre
Gungahlin,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,185.0,71582,2.5844486043977537,Pre
Gungahlin,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,281.0,77021,3.648355643266122,During
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,181.0,48334,3.7447759341250464,Pre
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,320.0,71582,4.470397585985304,Pre
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,453.0,77021,5.881512834162112,During
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,215.0,48334,4.448214507386105,Pre
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2016,397.0,71582,5.5460870051130176,Pre
Gungahlin,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2021,566.0,77021,7.348645174692616,During
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2011,0.0,48334,0.0,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2016,0.0,71582,0.0,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2021,0.0,77021,0.0,During
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2011,31.0,48334,0.6413704638556709,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2016,51.0,71582,0.7124696152664078,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2021,33.0,77021,0.42845457732306774,During
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2011,8.0,48334,0.1655149584143667,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2016,12.0,71582,0.1676399094744489,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2021,3.0,77021,0.038950416120278886,During
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2011,7.0,48334,0.14482558861257086,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2016,11.0,71582,0.1536699170182448,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2021,20.0,77021,0.2596694408018592,During
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2011,482.0,48334,9.972276244465593,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,785.0,71582,10.9664440781202,Pre
Gungahlin,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,1104.0,77021,14.333753132262629,During
Gungahlin,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2011,521.0,48334,10.77916166673563,Pre
Gungahlin,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2016,866.0,71582,12.098013467072729,Pre
Gungahlin,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2021,1165.0,77021,15.1257449267083,During
Gungahlin,Labour force status - Census : Employed (no.),2011,230.0,48334,4.758555054413042,Pre
Gungahlin,Labour force status - Census : Employed (no.),2016,442.0,71582,6.174736665642201,Pre
Gungahlin,Labour force status - Census : Employed (no.),2021,609.0,77021,7.906934472416614,During
Gungahlin,Labour force status - Census : In the labour force (no.),2011,254.0,48334,5.255099929656143,Pre
Gungahlin,Labour force status - Census : In the labour force (no.),2016,472.0,71582,6.5938364393283235,Pre
Gungahlin,Labour force status - Census : In the labour force (no.),2021,664.0,77021,8.621025434621727,During
Gungahlin,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,326.0,48334,6.744734555385443,Pre
Gungahlin,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,575.0,71582,8.032745662317343,Pre
Gungahlin,Labour force status - Census : Total responding population aged 15-64 years (no.),2021,835.0,77021,10.841199153477623,During
Gungahlin,Labour force status - Census : Unemployed (no.),2011,17.0,48334,0.3517192866305292,Pre
Gungahlin,Labour force status - Census : Unemployed (no.),2016,27.0,71582,0.37718979631751004,Pre
Gungahlin,Labour force status - Census : Unemployed (no.),2021,42.0,77021,0.5453058256839044,During
Gungahlin,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,202.0,48334,4.179252699962759,Pre
Gungahlin,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,395.0,71582,5.51814702020061,Pre
Gungahlin,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,498.0,77021,6.4657690759662945,During
Gungahlin,Tenure type - Census : Renter (no.),2011,321.0,48334,6.641287706376463,Pre
