Region,Crime,Year,Quarter,Number
Belconnen,Sexual Assault,2021,Q4,26
Belconnen,Sexual Assault,2022,Q1,39
Belconnen,Sexual Assault,2022,Q2,30
Belconnen,Sexual Assault,2022,Q3,42
Belconnen,Sexual Assault,2022,Q4,47
Belconnen,Sexual Assault,2023,Q1,48
Belconnen,Sexual Assault,2023,Q2,48
Belconnen,Sexual Assault,2023,Q3,36
Belconnen,Sexual Assault,2023,Q4,37
Belconnen,Sexual Assault,2024,Q1,60
Belconnen,Sexual Assault,2024,Q2,47
Belconnen,Sexual Assault,2024,Q3,40
Belconnen,Sexual Assault,2024,Q4,52
Belconnen,Sexual Assault,2025,Q1,25
Belconnen,Sexual Assault,2025,Q2,35
Belconnen,TINs,2014,Q1,852
Belconnen,TINs,2014,Q2,933
Belconnen,TINs,2014,Q3,1112
Belconnen,TINs,2014,Q4,822
Belconnen,TINs,2015,Q1,650
Belconnen,TINs,2015,Q2,472
Belconnen,TINs,2015,Q3,878
Belconnen,TINs,2015,Q4,573
Belconnen,TINs,2016,Q1,683
Belconnen,TINs,2016,Q2,707
Belconnen,TINs,2016,Q3,1134
Belconnen,TINs,2016,Q4,901
Belconnen,TINs,2017,Q1,780
Belconnen,TINs,2017,Q2,1023
Belconnen,TINs,2017,Q3,967
Belconnen,TINs,2017,Q4,795
Belconnen,TINs,2018,Q1,980
Belconnen,TINs,2018,Q2,686
Belconnen,TINs,2018,Q3,1050
Belconnen,TINs,2018,Q4,902
Belconnen,TINs,2019,Q1,658
Belconnen,TINs,2019,Q2,743
Belconnen,TINs,2019,Q3,773
Belconnen,TINs,2019,Q4,793
Belconnen,TINs,2020,Q1,1079
Belconnen,TINs,2020,Q2,1006
Belconnen,TINs,2020,Q3,969
Belconnen,TINs,2020,Q4,1192
Belconnen,TINs,2021,Q1,629
Belconnen,TINs,2021,Q2,851
Belconnen,TINs,2021,Q3,367
Belconnen,TINs,2021,Q4,478
Belconnen,TINs,2022,Q1,276
Belconnen,TINs,2022,Q2,334
Belconnen,TINs,2022,Q3,392
Belconnen,TINs,2022,Q4,455
Belconnen,TINs,2023,Q1,391
Belconnen,TINs,2023,Q2,465
Belconnen,TINs,2023,Q3,260
Belconnen,TINs,2023,Q4,212
Belconnen,TINs,2024,Q1,145
Belconnen,TINs,2024,Q2,235
Belconnen,TINs,2024,Q3,271
Belconnen,TINs,2024,Q4,315
Belconnen,TINs,2025,Q1,514
Belconnen,TINs,2025,Q2,506
Belconnen,Theft,2014,Q1,587
Belconnen,Theft,2014,Q2,514
Belconnen,Theft,2014,Q3,436
Belconnen,Theft,2014,Q4,537
Belconnen,Theft,2015,Q1,602
Belconnen,Theft,2015,Q2,681
Belconnen,Theft,2015,Q3,547
Belconnen,Theft,2015,Q4,734
Belconnen,Theft,2016,Q1,449
Belconnen,Theft,2016,Q2,626
Belconnen,Theft,2016,Q3,504
Belconnen,Theft,2016,Q4,476
Belconnen,Theft,2017,Q1,664
Belconnen,Theft,2017,Q2,525
Belconnen,Theft,2017,Q3,527
Belconnen,Theft,2017,Q4,600
Belconnen,Theft,2018,Q1,453
Belconnen,Theft,2018,Q2,475
Belconnen,Theft,2018,Q3,470
Belconnen,Theft,2018,Q4,619
Belconnen,Theft,2019,Q1,587
Belconnen,Theft,2019,Q2,562
Belconnen,Theft,2019,Q3,507
Belconnen,Theft,2019,Q4,561
Belconnen,Theft,2020,Q1,505
Belconnen,Theft,2020,Q2,369
Belconnen,Theft,2020,Q3,441
Belconnen,Theft,2020,Q4,405
Belconnen,Theft,2021,Q1,449
Belconnen,Theft,2021,Q2,527
Belconnen,Theft,2021,Q3,415
Belconnen,Theft,2021,Q4,437
Belconnen,Theft,2022,Q1,456
Belconnen,Theft,2022,Q2,562
Belconnen,Theft,2022,Q3,437
Belconnen,Theft,2022,Q4,423
Belconnen,Theft,2023,Q1,425
Belconnen,Theft,2023,Q2,559
Belconnen,Theft,2023,Q3,548
Belconnen,Theft,2023,Q4,413
Belconnen,Theft,2024,Q1,447
Belconnen,Theft,2024,Q2,370
Belconnen,Theft,2024,Q3,366
